  1.80	3276	3276	U	0	unclassified
 98.20	178501	5	R	1	root
 98.17	178459	366	R1	131567	  cellular organisms
 97.93	178011	7381	D	2	    Bacteria
 79.04	143676	6769	P	1224	      Proteobacteria
 44.29	80504	7264	C	28216	        Betaproteobacteria
 24.20	43999	10672	O	80840	          Burkholderiales
 15.64	28437	9609	F	80864	            Comamonadaceae
  3.73	6782	2624	G	12916	              Acidovorax
  2.19	3978	1989	G1	2684926	                unclassified Acidovorax
  0.34	615	615	S	2518343	                  Acidovorax sp. JMULE5
  0.32	574	574	S	2478662	                  Acidovorax sp. 1608163
  0.25	447	447	S	2738413	                  Acidovorax sp. YS12
  0.11	193	193	S	2714923	                  Acidovorax sp. HDW3
  0.04	76	76	S	358220	                  Acidovorax sp. KKS102
  0.03	52	52	S	1858609	                  Acidovorax sp. T1
  0.02	32	32	S	1842533	                  Acidovorax sp. RAC01
  0.03	63	63	S	553814	                Acidovorax carolinensis
  0.02	34	34	S	1926868	                Acidovorax monticola
  0.02	31	31	S	2743470	                Acidovorax antarcticus
  0.01	23	23	S	758826	                Acidovorax radicis
  0.01	22	0	S	80867	                Acidovorax avenae
  0.01	22	22	S1	80870	                  Acidovorax avenae subsp. avenae
  0.00	5	5	S	80869	                Acidovorax citrulli
  0.00	2	2	S	80868	                Acidovorax cattleyae
  3.24	5893	1744	G	283	              Comamonas
  0.98	1778	727	G1	2638500	                unclassified Comamonas
  0.48	880	880	S	2597701	                  Comamonas sp. NLF-7-7
  0.07	132	132	S	2853257	                  Comamonas sp. Y33R10-2
  0.01	20	20	S	2918299	                  Comamonas sp. B21-038
  0.01	18	18	S	2853163	                  Comamonas sp. NLF-1-9
  0.00	1	1	S	2927787	                  Comamonas sp. 7D-2evo1
  0.28	506	506	S	225991	                Comamonas aquatica
  0.25	457	457	S	363952	                Comamonas thiooxydans
  0.22	395	395	S	379895	                Comamonas odontotermitis
  0.19	346	346	S	1082851	                Comamonas serinivorans
  0.16	296	296	S	1562974	                Comamonas piscis
  0.08	139	47	S	285	                Comamonas testosteroni
  0.05	92	92	S1	1392005	                  Comamonas testosteroni TK102
  0.07	124	124	S	225992	                Comamonas kerstersii
  0.04	75	75	S	2796366	                Comamonas fluminis
  0.02	33	33	S	160825	                Comamonas koreensis
  1.08	1970	172	G	1649468	              Melaminivora
  0.53	961	0	G1	2641902	                unclassified Melaminivora
  0.53	961	961	S	2109913	                  Melaminivora sp. SC2-9
  0.46	837	837	S	1267217	                Melaminivora jejuensis
  0.48	869	62	G	219181	              Ottowia
  0.29	526	10	G1	2645081	                unclassified Ottowia
  0.21	380	380	S	2816950	                  Ottowia sp. 27C
  0.07	136	136	S	1658672	                  Ottowia sp. oral taxon 894
  0.15	281	281	S	2109914	                Ottowia oryzae
  0.46	832	335	G	238749	              Diaphorobacter
  0.14	247	247	S	1715720	                Diaphorobacter ruginosibacter
  0.10	176	34	G1	2649760	                unclassified Diaphorobacter
  0.06	112	112	S	2714924	                  Diaphorobacter sp. HDW4A
  0.01	19	19	S	2714925	                  Diaphorobacter sp. HDW4B
  0.00	6	6	S	2792224	                  Diaphorobacter sp. JS3051
  0.00	3	3	S	2866628	                  Diaphorobacter sp. MNS-0
  0.00	2	2	S	2735554	                  Diaphorobacter sp. JS3050
  0.04	74	74	S	1288495	                Diaphorobacter aerolatus
  0.28	508	0	G	352450	              Simplicispira
  0.28	508	508	S	2109915	                Simplicispira suum
  0.25	463	209	G	47420	              Hydrogenophaga
  0.14	249	87	G1	2610897	                unclassified Hydrogenophaga
  0.05	97	97	S	2806262	                  Hydrogenophaga sp. YM1
  0.01	22	22	S	2806347	                  Hydrogenophaga sp. SL48
  0.01	18	18	S	2716225	                  Hydrogenophaga sp. BA0156
  0.01	10	10	S	2651974	                  Hydrogenophaga sp. BPS33
  0.00	5	5	S	1842537	                  Hydrogenophaga sp. RAC07
  0.00	4	4	S	795665	                  Hydrogenophaga sp. PBC
  0.00	4	4	S	2565558	                  Hydrogenophaga sp. PAMC20947
  0.00	2	2	S	434010	                  Hydrogenophaga sp. PBL-H3
  0.00	3	3	S	65656	                Hydrogenophaga taeniospiralis
  0.00	1	1	S	47421	                Hydrogenophaga pseudoflava
  0.00	1	1	S	1763535	                Hydrogenophaga crassostreae
  0.20	369	0	G	665874	              Limnohabitans
  0.20	369	8	G1	2626134	                unclassified Limnohabitans
  0.18	331	331	S	1678129	                  Limnohabitans sp. 103DPR2
  0.02	30	30	S	1678128	                  Limnohabitans sp. 63ED37-2
  0.16	292	40	G	34072	              Variovorax
  0.13	234	26	G1	663243	                unclassified Variovorax
  0.06	112	112	S	1034889	                  Variovorax sp. HW608
  0.03	49	49	S	2762323	                  Variovorax sp. PAMC28562
  0.02	29	29	S	282217	                  Variovorax sp. SRS16
  0.00	6	6	S	2762322	                  Variovorax sp. PAMC26660
  0.00	2	2	S	2774875	                  Variovorax sp. 38R
  0.00	2	2	S	434009	                  Variovorax sp. PBL-H6
  0.00	2	2	S	434014	                  Variovorax sp. PBL-E5
  0.00	1	1	S	1795631	                  Variovorax sp. PAMC 28711
  0.00	1	1	S	2681552	                  Variovorax sp. RKNM96
  0.00	1	1	S	2126319	                  Variovorax sp. PMC12
  0.00	1	1	S	207745	                  Variovorax sp. WDL1
  0.00	1	1	S	662548	                  Variovorax sp. RA8
  0.00	1	1	S	434008	                  Variovorax sp. PBS-H4
  0.01	17	12	S	34073	                Variovorax paradoxus
  0.00	5	5	S1	1246301	                  Variovorax paradoxus B4
  0.00	1	1	S	436515	                Variovorax boronicumulans
  0.09	168	142	G	80865	              Delftia
  0.01	18	18	S	80866	                Delftia acidovorans
  0.00	6	6	S	180282	                Delftia tsuruhatensis
  0.00	1	1	S	558537	                Delftia lacustris
  0.00	1	0	G1	2613839	                unclassified Delftia
  0.00	1	1	S	1920191	                  Delftia sp. HK171
  0.08	149	8	G	28065	              Rhodoferax
  0.05	86	0	G1	2627954	                unclassified Rhodoferax
  0.02	43	43	S	2798804	                  Rhodoferax sp. MIZ03
  0.02	35	35	S	2741720	                  Rhodoferax sp. BAB1
  0.00	5	5	S	2752316	                  Rhodoferax sp. AJA081-3
  0.00	3	3	S	2822760	                  Rhodoferax sp. PAMC 29310
  0.02	34	34	S	81479	                Rhodoferax antarcticus
  0.00	8	8	S	2509614	                Rhodoferax sediminis
  0.00	6	6	S	1842727	                Rhodoferax koreense
  0.00	6	6	S	2527691	                Rhodoferax aquaticus
  0.00	1	0	S	192843	                Rhodoferax ferrireducens
  0.00	1	1	S1	338969	                  Rhodoferax ferrireducens T118
  0.05	90	42	G	52972	              Polaromonas
  0.02	31	31	S	37448	                Polaromonas vacuolata
  0.01	11	0	S	216465	                Polaromonas naphthalenivorans
  0.01	11	11	S1	365044	                  Polaromonas naphthalenivorans CJ2
  0.00	6	5	G1	2638319	                unclassified Polaromonas
  0.00	1	1	S	296591	                  Polaromonas sp. JS666
  0.04	81	0	G	683756	              Kinneretia
  0.04	81	0	G1	2632542	                unclassified Kinneretia
  0.04	76	76	S	2877940	                  Kinneretia sp. XES5
  0.00	5	5	S	2714952	                  Kinneretia sp. DAIF2
  0.04	68	0	G	1436289	              Candidatus Symbiobacter
  0.04	68	0	S	1436290	                Candidatus Symbiobacter mobilis
  0.04	68	68	S1	946483	                  Candidatus Symbiobacter mobilis CR
  0.03	57	0	G	174951	              Ramlibacter
  0.03	57	8	S	94132	                Ramlibacter tataouinensis
  0.03	49	49	S1	365046	                  Ramlibacter tataouinensis TTB310
  0.03	56	0	G	364316	              Verminephrobacter
  0.03	56	0	S	364317	                Verminephrobacter eiseniae
  0.03	56	56	S1	391735	                  Verminephrobacter eiseniae EF01-2
  0.03	51	26	G	2490452	              Serpentinimonas
  0.01	20	20	S	1458425	                Serpentinimonas raichei
  0.00	5	5	S	1458426	                Serpentinimonas maccroryi
  0.02	44	0	G	232523	              Hylemonella
  0.02	44	44	S	80880	                Hylemonella gracilis
  0.02	34	0	G	201096	              Alicycliphilus
  0.02	34	29	S	179636	                Alicycliphilus denitrificans
  0.00	3	3	S1	596154	                  Alicycliphilus denitrificans K601
  0.00	2	2	S1	596153	                  Alicycliphilus denitrificans BC
